learner_id,course_track,weekly_login_hours,forum_posts,completion_pct
743,Design,5.5,4.0,84.5
744,Web Dev,4.9,1.0,51.4
745,Web Dev,1.7,7.0,31.8
746,Web Dev,3.9,0.0,58.6
747,Web Dev,7.7,5.0,90.8
748,Data Science,6.7,4.0,77.9
749,Web Dev,8.7,6.0,100.0
750,Data Science,6.2,6.0,94.9
751,Web Dev,3.1,5.0,64.3
752,Design,5.0,8.0,59.6
753,Design,6.0,0.0,62.1
754,Web Dev,6.4,7.0,82.0
755,Design,6.6,8.0,75.2
756,Design,6.5,0.0,73.8
757,Data Science,7.6,0.0,88.6
758,Design,7.7,3.0,100.0
759,Design,3.9,1.0,46.3
760,Web Dev,8.8,7.0,100.0
761,Web Dev,7.6,6.0,59.8
762,Data Science,5.0,2.0,64.8
763,Data Science,6.4,3.0,79.0
764,Data Science,5.4,9.0,65.1
765,Data Science,6.4,3.0,80.3
766,Design,1.2,2.0,26.9
767,Data Science,1.1,10.0,18.0
768,Data Science,7.9,8.0,97.3
769,Web Dev,4.9,3.0,85.9
770,Data Science,9.3,6.0,89.4
771,Web Dev,9.6,0.0,93.0
772,Design,6.7,7.0,64.0
773,Design,10.7,13.0,100.0
774,Web Dev,3.7,3.0,35.9
775,Data Science,6.5,6.0,81.8
776,Design,2.9,4.0,46.5
777,Data Science,6.5,2.0,87.2
778,Design,8.9,4.0,100.0
779,Design,6.5,3.0,66.2
780,Web Dev,6.9,0.0,67.5
781,Design,3.6,5.0,57.5
782,Design,6.7,5.0,88.9
783,Design,4.2,6.0,51.9
784,Web Dev,6.4,6.0,52.3
785,Data Science,4.3,5.0,73.3
786,Data Science,8.4,5.0,100.0
787,Web Dev,7.6,3.0,58.2
788,Design,7.1,0.0,87.9
789,Web Dev,8.2,4.0,85.1
790,Web Dev,9.3,3.0,77.7
791,Data Science,6.2,0.0,92.5
792,Web Dev,4.4,4.0,63.2
793,Design,4.6,6.0,84.7
794,Design,10.2,9.0,100.0
795,Data Science,7.0,2.0,84.7
796,Data Science,3.3,8.0,67.0
797,Data Science,3.5,2.0,80.7
798,Design,9.1,5.0,100.0
799,Web Dev,5.4,8.0,65.7
800,Data Science,10.4,4.0,100.0
